Photo_ID,Magnification,Conversion_factor,Measurement_pixels,Measurement_um
LSCS_36-2_,1.61,3.396197,1146,3892.041762
LSCS_36-2_01,1.61,3.396197,983.0005,3338.463349
LSCS_36-2_02,1.61,3.396197,785.9854,2669.361258
LSCS_36-2_03,1.61,3.396197,606.6465,2060.291023
LSCS_36-2_05,1.61,3.396197,419.3149,1424.076005
LSCS_36-2_06,1.61,3.396197,278.3685,945.3942646
LSCS_37_,1.61,3.396197,804.0945,2730.863329
LSCS_37_01,1.61,3.396197,598.8472,2033.803064
LSCS_37_02,1.61,3.396197,429.0012,1456.972588
LSCS_37_03,1.61,3.396197,267.4696,908.3794531
LSCS_37_04,1.61,3.396197,236.677,803.8017174
LSCS_38_,1.61,4.3449759,802.5771,3487.178157
LSCS_38_01,1.61,4.3449759,655.8567,2849.681555
LSCS_38_02,1.61,4.3449759,513.0078,2229.006528
LSCS_38_03,1.61,4.3449759,442.4681,1922.513231
LSCS_38_04,1.61,4.3449759,329.2567,1430.612426
LSCS_38_05,1.61,4.3449759,266.3175,1157.143119
LSCS_38_06,1.61,4.3449759,262.7394,1141.596361
LSCS_38_07,1.61,4.3449759,200,868.99518
LSCS_38_08,1.61,4.3449759,232.9399,1012.118252
LSCS_38_09,1.61,4.3449759,145,630.0215055
LSCS_39_,1.61,4.3588134,537,2340.682796
LSCS_39_01,1.61,4.3588134,446.5255,1946.321333
LSCS_39_02,1.61,4.3588134,639.1127,2785.773001
LSCS_39_03,1.61,4.3588134,548,2388.629743
LSCS_39_04,1.61,4.3588134,143.5618,625.7590976
LSCS_40_,1.61,4.3449759,632.155,2746.69824
LSCS_40_01,1.61,4.3449759,431.3772,1874.323538
LSCS_40_02,1.61,4.3449759,298.918,1298.791506
LSCS_41_,1.61,4.3449759,782.9642,3401.96058
LSCS_41_01,1.61,4.3449759,738.935,3210.654767
LSCS_41_02,1.61,4.3449759,580.1491,2520.733858
LSCS_41_03,1.61,4.3449759,409.2163,1778.034961
LSCS_41_04,1.61,4.3449759,307.0016,1333.914553
LSCS_41_05,1.61,4.3449759,246.13,1069.428918
LSCS_42_,1.61,4.33809,737.7872,3200.587274
LSCS_42_01,1.61,4.33809,454.5415,1971.841936
LSCS_42_02,1.61,4.33809,416.2499,1805.729529
LSCS_42_04,1.61,4.33809,245.1653,1063.549136
LSCS_42_05,1.61,4.33809,298.6051,1295.375798
LSCS_43_,1.61,4.3588134,761.2017,3317.93617
LSCS_43_01,1.61,4.3588134,574.0706,2502.266624
LSCS_43_02,1.61,4.3588134,421.0582,1835.314124
LSCS_43_03,1.61,4.3588134,336.3406,1466.045914
LSCS_43_04,1.61,4.3588134,273,1189.956058
LSCS_43_05,1.61,4.3588134,244.8122,1067.090698
LSCS_43_06,1.61,4.3588134,196.3288,855.7606042
LSCS_43_07,1.61,4.3588134,170.8801,744.8344697
LSCS_43_08,1.61,4.3588134,143.8923,627.1996854
LSCS_44_,1.61,4.3449759,736.8317,3201.515979
LSCS_44_01,1.61,4.3449759,589.2071,2560.09065
LSCS_44_02,1.61,4.3449759,379.0646,1647.026552
LSCS_44_03,1.61,4.3449759,320.9751,1394.629074
LSCS_44_04,1.61,4.3449759,285.0018,1238.325952
LSCS_44_05,1.61,4.3449759,213.2135,926.4075191
